start_time_sec,duration_sec,midi_note
0.580000,0.270000,30
8.340000,0.140000,52
8.480000,0.290000,54
9.040000,0.200000,53
9.240000,0.230000,55
9.600000,1.150000,53
11.450000,0.280000,55
12.040000,0.280000,55
12.380000,1.750000,58
14.610000,0.920000,60
15.550000,0.390000,62
15.990000,0.280000,60
16.950000,0.150000,53
17.130000,0.970000,55
18.150000,0.310000,53
18.490000,0.180000,55
18.720000,2.920000,58
23.510000,0.350000,56
25.360000,0.810000,59
26.170000,0.170000,61
26.340000,0.330000,63
27.170000,0.180000,68
28.430000,0.070000,69
29.260000,0.140000,61
29.790000,0.550000,62
30.560000,0.670000,60
31.340000,0.340000,55
31.780000,0.370000,59
32.970000,0.060000,65
33.600000,0.510000,58
34.190000,0.340000,61
35.050000,0.400000,62
36.250000,0.200000,62
36.730000,0.070000,62
37.050000,0.280000,62
37.440000,0.220000,59
38.190000,0.100000,60
39.760000,0.380000,60
40.390000,0.080000,63
41.100000,0.450000,58
43.000000,0.320000,59
44.430000,0.550000,67
45.700000,0.800000,67
46.690000,0.140000,67
47.720000,0.300000,61
48.550000,0.690000,62
50.410000,0.150000,59
50.560000,0.650000,61
51.450000,1.720000,62
53.410000,2.680000,58
56.250000,0.090000,56
56.360000,0.060000,58
56.820000,2.920000,59
61.100000,0.910000,54
62.010000,0.300000,56
62.460000,0.710000,53
63.490000,0.220000,53
64.280000,0.150000,54
64.430000,0.080000,56
64.570000,0.190000,53
64.820000,0.490000,55
65.370000,1.550000,58
67.570000,0.850000,60
68.440000,0.350000,62
68.860000,0.500000,60
69.560000,0.140000,60
69.870000,0.070000,53
70.050000,0.720000,56
70.890000,0.520000,53
71.530000,0.060000,56
71.650000,3.330000,59
75.470000,0.110000,50
75.700000,0.340000,53
76.320000,0.150000,54
76.480000,0.110000,56
76.960000,0.160000,54
78.240000,0.740000,58
79.080000,0.150000,61
79.230000,0.670000,63
80.110000,0.300000,62
81.070000,0.070000,60
81.390000,0.350000,60
81.960000,0.650000,61
83.050000,0.090000,62
83.320000,0.170000,60
83.880000,0.120000,60
84.200000,0.190000,55
84.550000,0.790000,59
85.780000,0.060000,59
86.070000,0.960000,59
87.030000,0.520000,61
87.560000,0.390000,63
88.570000,1.140000,62
89.930000,0.090000,61
90.200000,0.410000,59
90.610000,2.860000,61
93.680000,0.470000,59
94.420000,1.710000,58
96.520000,0.100000,67
98.140000,0.080000,67
99.200000,0.070000,67
100.430000,0.700000,61
101.380000,0.270000,63
102.830000,0.070000,60
103.060000,0.070000,58
103.230000,0.590000,60
103.910000,1.900000,62
106.230000,2.700000,58
109.050000,0.100000,56
109.170000,0.160000,58
109.390000,0.140000,61
109.630000,2.880000,58
113.580000,0.820000,58
114.480000,0.170000,56
114.650000,0.570000,58
115.450000,0.330000,58
115.860000,0.510000,61
116.370000,1.160000,63
117.770000,0.410000,62
118.210000,0.070000,57
118.280000,0.060000,59
118.370000,0.280000,57
118.650000,0.420000,59
119.990000,0.160000,63
120.300000,0.070000,76
120.420000,0.250000,64
120.990000,0.210000,63
121.410000,0.300000,63
121.830000,0.050000,61
121.910000,0.070000,59
122.180000,0.450000,59
122.630000,1.170000,61
123.800000,0.160000,63
124.030000,0.460000,60
125.480000,0.940000,61
126.430000,0.690000,63
127.160000,1.710000,60
128.900000,3.270000,58
132.220000,0.160000,60
132.580000,0.060000,62
132.770000,0.910000,60
133.770000,0.220000,60
136.030000,0.070000,64
136.380000,0.220000,64
137.790000,0.160000,58
138.220000,0.640000,61
139.450000,0.140000,63
139.850000,0.960000,63
141.380000,0.190000,58
141.620000,1.100000,60
142.970000,0.060000,60
143.080000,0.340000,61
143.670000,0.460000,61
144.880000,0.180000,59
145.310000,0.390000,59
145.930000,1.530000,59
151.760000,0.230000,61
151.990000,1.530000,63
153.870000,0.190000,62
154.470000,0.670000,61
155.140000,0.540000,63
155.880000,0.630000,62
157.030000,0.070000,62
157.490000,0.380000,58
158.360000,0.160000,58
158.910000,1.230000,58
160.430000,0.140000,58
160.660000,0.160000,61
160.980000,1.880000,59
163.170000,0.220000,59
163.660000,0.070000,58
163.920000,1.150000,61
165.130000,0.290000,63
165.550000,0.640000,62
166.390000,0.050000,62
166.880000,0.080000,61
167.340000,1.000000,60
168.680000,0.370000,60
169.280000,0.590000,60
170.400000,0.150000,60
170.620000,0.060000,66
171.320000,0.060000,59
172.060000,0.060000,59
172.730000,0.380000,58
173.670000,0.460000,66
177.440000,0.210000,61
177.910000,0.300000,62
178.640000,0.170000,62
179.010000,0.050000,62
179.300000,0.190000,62
179.840000,0.120000,61
180.720000,0.210000,60
180.990000,1.280000,62
182.690000,0.300000,62
183.560000,2.050000,58
186.540000,0.130000,61
186.780000,0.400000,58
187.270000,0.270000,58
187.880000,0.160000,59
188.290000,0.890000,58
189.350000,0.060000,62
189.500000,0.130000,60
189.740000,0.140000,58
190.000000,1.060000,60
191.330000,0.760000,61
192.150000,0.340000,66
192.650000,0.160000,62
193.360000,0.240000,58
193.750000,0.200000,59
194.170000,0.640000,59
195.270000,0.150000,59
196.200000,0.130000,58
196.470000,0.290000,60
197.020000,1.480000,61
198.720000,0.180000,65
199.010000,0.240000,62
199.660000,1.580000,58
201.350000,0.200000,59
201.820000,0.290000,58
202.230000,0.770000,59
203.240000,0.090000,60
203.900000,0.060000,60
